ALN 99332	Right , well thank you very much Mr .
ALN 99333	Does Area Team Organization #Make a Difference ?
ALN 99334	ROGER FULLER and ALISON PETCH
ALN 99335	Roger Fuller has #held research posts in universities , a local authority and the National Children 's Bureau .
ALN 99336	Alison Petch has undertaken research #in a #range of social policy #areas , #in both local authority and university #settings .
ALN 99337	They are currently at the Social Work Research Centre ( SWRC ) , University of Stirling , which is jointly funded by the Economic and Social Research Council and the Scottish Office .
ALN 99338	SUMMARY
ALN 99339	The #paper #describes early #stages of a programme of research #designed to #investigate the effects of different #ways of organizing social work teams .
ALN 99340	Initially #conceived as an attempt to study the relative effectiveness of specialist and generic team organization , the #focus has been #broadened to #encompass a #range of #wider and sometimes #cross - #cutting organizational variables .
ALN 99341	After a brief review of attempts to specify organizational characteristics and of the methodological problems they #pose #to the researcher , a preliminary study is reported .
ALN 99342	#This compared services #to the elderly #delivered by teams exemplifying some of the more #prominent organizational types .
ALN 99343	The study tentatively identifies a number of factors which distinguished between teams #in social work activities and #in rudimentary #measures of client outcome .
ALN 99344	The #dimensions of further work which would #fill #out these #early findings and #explore further organizational effects are #sketched .
ALN 99345	Few would dispute the diversity manifest #in the organization of social services #delivery , both #amongst area teams ( Challis and Ferlie , 1987 ) and #at secondary #level ( Challis and Ferlie , 1986 ) .
ALN 99346	Yet #this considerable variation #in organizational #model appears to #arouse remarkably #little interest #in its consequences .
ALN 99347	The initial ( naïve ) enthusiasm of the researcher #with a new #line of enquiry is #greeted #with a seeming #conspiracy of silence .
ALN 99348	Perhaps to some extent #this represents a legacy #from Seebohm , a queasiness #at what may be inaccurately #interpreted as a #retreat #from the generic ideal .
ALN 99349	Perhaps it is an acknowledgement of the genuine complexity of the issue , likely to be #deepened by the uncertain #light #cast #on the future of the area team by the Griffiths recommendations ( Griffiths , 1988 ) for the development of the case - manager #role and other significant changes #in service #delivery .
ALN 99350	Perhaps , more cynically , it #reflects a weariness #on the #part of #those subject #to multiple restructurings #on the apparent whim of new management .
ALN 99351	The initial interest of the Social Work Research Centre was #in the desirability and feasibility of comparing the effectiveness of generic and specialist modes of organization .
ALN 99352	#Early conceptual clarification ( Petch , 1987 ) #confirmed both #greater diversity than the simple dichotomy and the presence of alternative #dimensions , for example decentralization and accountability , which both #parallel and #cross - #cut the organizational debate .
ALN 99353	#In this #paper we #trace the main contributions #to the debate and then present the results #from a first attempt , #with one client group ( the elderly ) and #with a #small number of teams ( four ) , to pin - point differential outcomes #amongst the most #prominent #models of area team organization .
ALN 99354	The literature #in #this #area is fragmentary and tends either to be definitional or descriptive .
