011116.xml 99733	thank_you 
011116.xml 99734	yeah you can put it back in the square now ca n't you 
011116.xml 99735	we 've only got the red one to find 
011116.xml 99736	because that 's still missing is n't it 
011116.xml 99737	mhm 
011116.xml 99738	the red one 's still missing 
011116.xml 99739	can you see that one 
011116.xml 99740	what 's this one 
011116.xml 99741	mhm 
011116.xml 99742	are you putting them on there 
011116.xml 99743	yeah 
011116.xml 99744	do you wanna draw 
011116.xml 99745	do you wanna draw Liz 
011116.xml 99746	yeah 
011116.xml 99747	okay 
011116.xml 99748	we 'll find a pen 
011116.xml 99749	which book do you wanna #draw #in 
011116.xml 99750	#this 
011116.xml 99751	the one with the pictures in 
011116.xml 99752	um 
011116.xml 99753	I do n't know where it is 
011116.xml 99754	here you are 
011116.xml 99755	there 's one here 
011116.xml 99756	will this be all right 
011116.xml 99757	no 
011116.xml 99758	well I did n't think it would be 
011116.xml 99759	I ca n't see your coloring book 
011116.xml 99760	where 's your coloring book gone 
011116.xml 99761	hm 
011116.xml 99762	oh here we are look 
011116.xml 99763	right let 's go in the front room 
011116.xml 99764	what 're you drawing Liz 
011116.xml 99765	a chicken 
011116.xml 99766	a teddy bear 
011116.xml 99767	oh that 's nice 
011116.xml 99768	what 's that 
011116.xml 99769	oh here 's the postman 
011116.xml 99770	do you think there 'll be any for us 
011116.xml 99771	oh there is 
011116.xml 99772	no it 's the post 
011116.xml 99773	yeah 
011116.xml 99774	is it the post 
011116.xml 99775	is it 
011116.xml 99776	oh Liz 
011116.xml 99777	there 's #loads of it 
011116.xml 99778	oh 
011116.xml 99779	we 're gon na going to be all excited 
011116.xml 99780	oh that looks like a phone #bill 
011116.xml 99781	we do n't have that 
011116.xml 99782	oh there 's one for Daddy with doggys on 
011116.xml 99783	mhm 
011116.xml 99784	that 's for Daddy that one 
011116.xml 99785	oh and here 's another one from the book club 
011116.xml 99786	oh 
011116.xml 99787	oh this is exciting is n't it 
011116.xml 99788	shall we #see if there 's some for you in here 
011116.xml 99789	yeah 
011116.xml 99790	there might be more doggys inside 
011116.xml 99791	a 
011116.xml 99792	look at that 
011116.xml 99793	mhm 
011116.xml 99794	the doggy 's going for a walk is he 
011116.xml 99795	look 
011116.xml 99796	a very big doggy 
011116.xml 99797	and a little tiny doggy 
011116.xml 99798	well I think the rest of it 's important 
011116.xml 99799	it looks important anyway 
011116.xml 99800	you wanna have a wee_wee 
011116.xml 99801	right right right 
011116.xml 99802	are you showing Anna the doggy 
011116.xml 99803	are you showing me 
011116.xml 99804	it 's a doggy yeah 
011116.xml 99805	a tiny doggy yeah 
011116.xml 99806	Liz 
011116.xml 99807	did you wanna have a wee_wee 
011116.xml 99808	knick_knicks 
011116.xml 99809	no knickers down 
011116.xml 99810	#there you #go 
011116.xml 99811	you have a wee 
011116.xml 99812	you do n't want your hands in your pottie do you 
011116.xml 99813	oh there 's none yet 
011116.xml 99814	do n't you wanna go 
011116.xml 99815	#that 's okay 
011116.xml 99816	#in a bit eh 
011116.xml 99817	do you wanna do some more drawing 
011116.xml 99818	no 
011116.xml 99819	okay 
011116.xml 99820	what 're you doing 
011116.xml 99821	it 'll hafta be pulled out a bit 
011116.xml 99822	are you ready 
011116.xml 99823	oh 
011116.xml 99824	#go #on then 
011116.xml 99825	oh 
011116.xml 99826	you 're going very fast #on #that 
011116.xml 99827	are you doing seesaw 
011116.xml 99828	yeah 
011116.xml 99829	oh no hands 
011116.xml 99830	what 's broken sweetheart 
011116.xml 99831	is it 
011116.xml 99832	see_saw_marjorie_daw 
011116.xml 99833	sorry Liz 
011116.xml 99834	I hadta look at my post 
011116.xml 99835	eh #that 's good fun is n't it 
011116.xml 99836	table 
011116.xml 99837	is Daddy at work 
011116.xml 99838	yeah 
011116.xml 99839	mhm 
011116.xml 99840	that 's your baby 's pram is n't it 
011116.xml 99841	are you_all right 
011116.xml 99842	oh he 's going on the seesaw is he 
011116.xml 99843	let 's just bend his leggies up a bit because he ca n't sit down like that 
011116.xml 99844	#see 
011116.xml 99845	there you are 
011116.xml 99846	why do you think I do n't think he can reach Liz 
011116.xml 99847	I think you 'll hafta kind of hold him like that 
011116.xml 99848	a 
011116.xml 99849	why are you hitting him 
011116.xml 99850	hm 
011116.xml 99851	no gently 
011116.xml 99852	gently 
011116.xml 99853	because we do n't #hit #things do we 
011116.xml 99854	we do n't hit people or dollys 
011116.xml 99855	just gently 
011116.xml 99856	no 
011116.xml 99857	we certainly do n't hit Mummy 
011116.xml 99858	oh 
011116.xml 99859	fell off 
011116.xml 99860	he was n't #holding #on was he 
011116.xml 99861	oh dear 
011116.xml 99862	now you 've #fallen off 
011116.xml 99863	hm 
011116.xml 99864	#wait a minute 
011116.xml 99865	you 're running me over now 
011116.xml 99866	I 'll get #out_of the way 
011116.xml 99867	whoops 
011116.xml 99868	what 's that you 're drawing 
011116.xml 99869	a teddy 
011116.xml 99870	mhm 
011116.xml 99871	oh 
011116.xml 99872	that 's a #big circle is n't it 
011116.xml 99873	are you doing a very big teddy 
011116.xml 99874	do you want me to draw a table 
011116.xml 99875	whereabouts 
011116.xml 99876	here 
011116.xml 99877	okay 
011116.xml 99878	well there 's the leg 
011116.xml 99879	there 's another table leg 
011116.xml 99880	and then it #has a top like that does n't it 
011116.xml 99881	is that okay for a table 
011116.xml 99882	mhm 
011116.xml 99883	what do you want me to draw 
011116.xml 99884	a table 
011116.xml 99885	okay 
011116.xml 99886	there 's the leg 
011116.xml 99887	and another table leg 
011116.xml 99888	and the top 
011116.xml 99889	another table 
011116.xml 99890	what do you want me to do 
011116.xml 99891	round your hand 
011116.xml 99892	oh 
011116.xml 99893	draw round your hand 
011116.xml 99894	and round your fingers 
011116.xml 99895	oh 
011116.xml 99896	you moved a bit there 
011116.xml 99897	oh 
011116.xml 99898	oh you moved 
011116.xml 99899	what 
011116.xml 99900	my hand 
011116.xml 99901	are you going to draw around my hand 
011116.xml 99902	a 
011116.xml 99903	you 've put pen on my finger 
011116.xml 99904	you got my finger then and not the paper 
011116.xml 99905	this looks like a #ladybird 
011116.xml 99906	do you think it 's a ladybird 
011116.xml 99907	no 
011116.xml 99908	mhm 
011116.xml 99909	a turtle 
011116.xml 99910	oh dear 
011116.xml 99911	I do n't I do n't know if I can draw a turtle 
